,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Fort Nelson,CA,1570421218,90,62,58.81,-122.69,14.0,4.6
374,Carnarvon,ZA,1570421024,3,49,-30.97,22.13,10.02,7.13
375,Port Blair,IN,1570421219,96,71,11.67,92.75,27.86,2.05
376,Ajdabiya,LY,1570421220,37,63,30.75,20.22,24.25,1.67
377,Lively,US,1570421220,1,45,33.6,-99.18,17.22,7.2
378,Lucapa,AO,1570421220,17,87,-8.42,20.74,19.85,1.13
379,Gondanglegi,ID,1570421220,79,43,-7.75,112.01,32.01,5.37
380,Ostersund,SE,1570421221,44,95,63.18,14.64,1.0,3.1
381,Kawalu,ID,1570421221,84,57,-7.38,108.21,26.75,2.8
382,Sobolevo,RU,1570421221,0,96,54.43,31.9,-2.1,2.67
383,Gaya,IN,1570421222,20,83,24.8,85.01,28.0,1.86
384,Mildura,AU,1570421222,75,52,-34.18,142.16,18.0,3.6
385,San Juan Bautista,PY,1570421222,49,91,-26.67,-57.15,16.18,2.37
386,Naters,CH,1570421222,75,93,46.32,7.99,12.22,1.0
387,Beloha,MG,1570421222,0,65,-25.17,45.06,21.17,3.93
388,Novo Aripuana,BR,1570421222,16,70,-5.12,-60.38,25.91,0.72
389,Progreso,UY,1570421222,0,71,-34.68,-56.22,13.33,2.6
390,Alto Araguaia,BR,1570421222,5,86,-17.32,-53.22,20.69,1.54
391,Saint Anthony,US,1570421223,1,64,43.97,-111.68,6.0,1.94
392,Iwanai,JP,1570421223,100,61,42.97,140.51,16.87,2.46
393,Melo,UY,1570421223,0,95,-32.37,-54.17,9.37,2.59
394,San Quintin,PH,1570421223,0,61,17.54,120.52,30.12,1.59
395,Vuktyl,RU,1570421223,100,85,63.86,57.31,0.48,1.82
396,Shakawe,BW,1570421223,3,27,-18.36,21.84,20.23,2.24
397,Coihaique,CL,1570421224,90,86,-45.58,-72.07,5.0,1.0
398,Hithadhoo,MV,1570421224,81,77,-0.6,73.08,27.59,6.27
399,Salmon Arm,CA,1570420808,23,92,50.7,-119.29,10.56,1.01
400,Chinsali,ZM,1570421224,0,76,-10.55,32.07,16.78,2.16
401,Smidovich,RU,1570421224,20,49,48.6,133.81,14.05,6.9
402,Erenhot,CN,1570421224,10,44,43.65,111.97,10.18,8.77
403,Balsas,BR,1570421001,3,64,-7.53,-46.04,25.93,1.24
404,Thunder Bay,CA,1570421224,20,76,48.41,-89.26,10.0,4.6
405,Srednekolymsk,RU,1570421068,0,77,67.46,153.71,-6.24,3.14
406,Senneterre,CA,1570421225,90,71,48.39,-77.24,11.0,4.6
407,Port Macquarie,AU,1570421225,21,50,-31.43,152.91,38.33,6.2
408,Arica,CL,1570421225,90,77,-18.48,-70.32,15.0,2.6
409,Hudson Bay,CA,1570421225,0,80,52.86,-102.4,3.31,1.4
410,Kang,BW,1570421225,100,41,-23.67,22.79,21.02,3.23
411,Dukat,AL,1570421225,67,84,40.25,19.57,15.0,0.45
412,Doha,QA,1570421040,20,62,25.29,51.53,32.0,4.1
413,Nadym,RU,1570421226,19,77,65.53,72.51,0.75,8.54
414,Uray,RU,1570421226,100,76,60.13,64.8,6.71,2.54
415,Faanui,PF,1570421045,100,85,-16.48,-151.75,25.07,8.09
416,Emba,CY,1570421226,40,69,34.81,32.42,24.0,2.1
417,Esil,KZ,1570421226,0,50,51.96,66.41,9.55,2.86
418,Egvekinot,RU,1570421226,100,84,66.32,-179.17,-4.57,1.67
419,Mogadishu,SO,1570421111,59,86,2.04,45.34,24.88,3.91
420,Aksarka,RU,1570421207,11,84,66.56,67.8,0.17,7.96
421,Rock Sound,BS,1570421226,89,80,24.9,-76.2,27.47,6.63
422,Saint-Francois,FR,1570421226,38,95,46.42,3.91,8.33,2.1
423,Isangel,VU,1570421227,75,78,-19.55,169.27,26.0,5.1
424,Lata,IN,1570421074,100,61,30.78,78.62,4.03,2.29
425,Dzheguta,RU,1570421227,98,94,43.97,42.04,6.55,2.14
426,Mapiripan,CO,1570421227,100,85,2.89,-72.13,24.22,1.8
427,Mareeba,AU,1570421227,2,45,-16.99,145.42,30.0,4.6
428,Ouadda,CF,1570421227,94,98,8.07,22.4,19.1,1.9
429,Soller,DE,1570421227,90,93,50.73,6.56,10.0,2.6
430,Bhabua,IN,1570421227,0,64,25.04,83.61,27.12,1.09
431,Kaa-Khem,RU,1570421228,5,65,51.7,94.56,8.51,1.47
432,Itaugua,PY,1570421228,0,88,-25.38,-57.33,18.0,2.1
433,Faya,SA,1570421228,0,41,18.39,42.45,18.0,0.69
434,Torbay,CA,1570421228,20,93,47.66,-52.73,6.67,3.6
435,Whyalla,AU,1570421228,100,72,-33.04,137.58,17.0,5.7
436,Manta,RO,1570421207,100,64,45.1,24.1,7.72,0.83
437,Panzhihua,CN,1570421228,76,83,26.59,101.72,20.11,1.13
438,Saint-Georges,CA,1570421228,93,87,46.12,-70.67,14.44,1.79
439,Kaoma,ZM,1570421229,32,47,-14.8,24.8,17.96,2.83
440,Pandan,PH,1570421229,23,73,11.72,122.09,28.64,4.2
441,Noumea,NC,1570421229,0,42,-22.28,166.46,29.0,6.2
442,Sorong,ID,1570421229,91,83,-0.86,131.25,28.1,2.66
443,Gemena,CD,1570421229,92,92,3.25,19.78,21.36,0.56
444,Muyezerskiy,RU,1570421229,100,97,63.93,31.65,-0.13,1.61
445,Hohhot,CN,1570421229,20,66,40.81,111.65,10.0,4.0
446,Yangambi,CD,1570421230,100,99,0.77,24.47,21.53,2.04
447,Katherine,AU,1570421230,40,17,-14.47,132.26,35.0,3.6
448,Nandi,IN,1570421230,75,100,13.39,77.7,24.0,2.1
449,Sayyan,YE,1570421230,22,65,15.17,44.32,19.65,0.27
450,Mandalgovi,MN,1570421230,64,47,45.76,106.27,5.43,5.66
451,Vorukh,KG,1570421230,0,23,39.85,70.57,14.32,1.32
452,Coolum Beach,AU,1570421230,0,80,-26.53,153.09,35.56,4.92
453,Huanuco,PE,1570421231,100,94,-9.93,-76.24,6.69,2.1
454,Jambi,ID,1570421231,89,63,-1.6,103.62,29.27,1.94
455,Troitsko-Pechorsk,RU,1570421231,100,94,62.71,56.19,0.64,1.83
456,Peniche,PT,1570421231,0,77,39.36,-9.38,17.0,3.6
457,Bonthe,SL,1570421231,100,88,7.53,-12.5,24.93,2.9
458,Ariquemes,BR,1570421231,55,96,-9.91,-63.03,22.35,1.72
459,Sao Joao da Barra,BR,1570421231,7,90,-21.64,-41.05,21.18,1.45
460,Doka,SD,1570421231,44,90,13.52,35.76,22.42,2.66
461,Bambanglipuro,ID,1570421232,100,83,-7.95,110.28,25.01,6.21
462,Bogande,BF,1570421232,32,79,12.97,-0.14,24.23,1.9
463,Beira,ES,1570421232,0,100,43.2,-8.36,11.67,2.6
464,Uusikaupunki,FI,1570421232,0,93,60.8,21.41,2.0,1.0
465,Nhulunbuy,AU,1570421232,20,51,-12.18,136.78,30.0,5.1
466,The Pas,CA,1570421232,1,80,53.82,-101.24,4.0,3.6
467,Borzya,RU,1570421232,0,31,50.39,116.53,3.94,9.68
468,Gwadar,PK,1570421233,81,68,25.12,62.33,27.53,2.01
469,Sitka,US,1570421233,0,69,37.17,-99.65,10.56,1.79
470,Acajutla,SV,1570421233,100,70,13.59,-89.83,28.56,1.59
471,Alice Springs,AU,1570421182,0,11,-23.7,133.88,33.0,3.1
472,Laurel,US,1570421233,90,73,39.1,-76.85,22.22,2.6
473,Alta Floresta,BR,1570421233,77,95,-9.87,-56.08,21.86,0.84
474,Binzhou,CN,1570421233,0,57,37.38,117.96,18.33,0.45
475,Basco,US,1570421234,1,93,40.33,-91.2,13.33,1.5
476,Kargasok,RU,1570421234,88,92,59.06,80.87,8.91,1.61
477,Mount Isa,AU,1570421234,0,8,-20.73,139.49,36.0,4.6
478,Aljezur,PT,1570421234,46,81,37.31,-8.8,19.44,6.71
479,Naze,NG,1570421234,75,100,5.43,7.07,23.0,1.36
480,Victor Harbor,AU,1570421234,75,87,-35.55,138.62,15.0,5.7
481,Chanika,MW,1570421234,0,69,-12.93,34.19,19.89,0.82
482,Nanyamba,MZ,1570421235,40,100,-10.69,39.81,22.0,2.6
483,Kochubey,RU,1570421235,100,62,44.39,46.54,16.69,9.33
484,Mbini,GQ,1570421235,40,100,1.58,9.62,23.0,2.62
485,Kahului,US,1570421235,40,61,20.89,-156.47,28.0,4.6
486,Wahiawa,US,1570420983,90,69,21.5,-158.02,28.33,3.1
487,Vila,IT,1570421235,0,100,45.18,8.4,13.33,2.1
488,Laibin,CN,1570421235,100,76,23.74,109.23,23.49,1.53
489,Calvini,RO,1570421235,75,81,45.25,26.29,7.0,6.2
490,Mbandaka,CD,1570421236,100,98,0.05,18.26,21.81,0.8
491,Ayia Galini,GR,1570420955,20,82,35.1,24.68,21.0,4.6
492,Paka,CF,1570421236,100,98,4.15,15.03,19.3,0.66
493,Guozhen,CN,1570421236,100,66,29.3,113.14,17.23,4.27
494,Zhuanghe,CN,1570421236,34,45,39.7,122.97,17.82,5.24
495,Pombas,BR,1570421236,71,76,-15.9,-54.74,21.05,2.27
496,Urcos,PE,1570421236,40,65,-13.69,-71.62,8.0,0.5
497,Ilulissat,GL,1570421237,100,97,69.22,-51.1,0.0,3.6
498,Padilla,CO,1570421237,75,78,3.23,-76.31,22.0,3.1
499,Taoudenni,ML,1570421101,0,11,22.68,-3.98,27.34,3.06
500,Jiwani,PK,1570421237,36,70,25.05,61.74,27.37,2.44
501,Nome,US,1570421237,1,88,30.04,-94.42,25.56,1.02
502,Kushima,JP,1570421237,75,94,31.5,131.29,24.0,3.1
503,Columbia,US,1570421213,1,78,34.0,-81.03,22.22,3.68
504,Suamico,US,1570421237,1,66,44.63,-88.04,13.33,2.6
505,Ladyzhyn,UA,1570421237,44,79,48.68,29.26,2.22,2.41
506,Wildeshausen,DE,1570421238,0,93,52.9,8.44,3.89,3.6
507,Handan,CN,1570421238,0,49,36.58,114.48,19.38,2.1
508,Chimoio,MZ,1570421238,0,100,-19.11,33.48,17.0,0.87
509,Port Moresby,PG,1570421238,40,70,-9.47,147.16,30.0,7.7
510,Bad Kreuznach,DE,1570421238,90,100,49.84,7.87,10.0,5.1
511,Wuda,CN,1570421238,27,18,39.5,106.72,12.64,1.8
512,Strezhevoy,RU,1570421238,0,93,60.73,77.6,6.0,1.0
513,Buala,SB,1570421238,70,76,-8.15,159.59,28.53,5.1
514,Porto Novo,BR,1570421239,75,77,-23.68,-45.44,20.0,1.0
515,Oksfjord,NO,1570421239,75,86,70.24,22.35,4.44,5.1
516,Laguna,BZ,1570421239,40,94,16.17,-88.94,26.0,0.04
517,Nemuro,JP,1570421239,75,62,43.32,145.57,15.0,4.1
518,Melita,CA,1570421239,56,75,49.27,-100.98,7.78,2.68
519,Bontang,ID,1570421239,33,69,0.12,117.47,30.11,0.94
520,Khyriv,UA,1570421239,0,84,49.53,22.85,-1.67,0.42
521,Kalya,IN,1570421239,75,88,12.98,77.18,24.0,1.64
522,Astoria,US,1570421240,1,82,46.19,-123.83,13.89,1.5
523,Tomatlan,MX,1570421240,95,86,19.93,-105.25,27.76,5.7
524,Bathurst,AU,1570421240,100,44,-33.42,149.58,21.67,2.24
525,Comodoro Rivadavia,AR,1570421240,75,66,-45.87,-67.48,10.0,8.7
526,Navirai,BR,1570421240,34,86,-23.07,-54.19,17.33,1.69
527,East Wenatchee Bench,US,1570421240,1,58,47.43,-120.28,12.0,2.1
528,Olinda,AU,1570421241,75,51,-37.84,145.39,18.89,3.1
529,La Romana,DO,1570421241,20,78,18.43,-68.97,28.0,2.03
530,Jasper,US,1570421147,1,100,33.83,-87.28,25.56,1.9
531,Viesca,MX,1570421241,40,32,25.34,-102.81,29.0,7.2
532,Puerto Baquerizo Moreno,EC,1570421241,98,84,-0.9,-89.6,19.73,5.28
533,Wundanyi,KE,1570421241,64,87,-3.4,38.37,18.18,3.8
534,College,US,1570421242,90,86,64.86,-147.8,1.0,4.1
535,Povolzhskiy,RU,1570421242,0,33,53.59,49.76,8.0,5.0
536,Sibolga,ID,1570421145,97,81,1.74,98.78,26.76,6.1
537,Broome,GB,1570421242,97,93,52.47,1.45,12.78,1.25
538,Konstantinovskoye,RU,1570421242,40,87,45.3,42.64,7.0,9.0
539,Batsfjord,NO,1570421242,75,86,70.63,29.72,3.0,4.1
540,Troitskoye,RU,1570421242,0,65,52.98,84.68,13.7,1.96
541,Sassandra,CI,1570421242,88,98,4.95,-6.09,21.53,1.03
542,Paraiso,BR,1570421243,40,94,-0.03,-51.17,28.0,2.6
543,Saint George,GR,1570421243,75,82,39.45,22.34,17.0,2.1
544,Haines Junction,CA,1570421056,96,83,60.75,-137.51,-7.03,2.47
545,Kungurtug,RU,1570421243,24,62,50.6,97.53,6.68,0.93
546,Marienburg,DE,1570421243,0,76,52.12,9.98,4.0,2.6
547,Takaungu,KE,1570421243,20,94,-3.68,39.86,24.0,2.1
548,Pasco,US,1570421024,1,54,46.24,-119.1,14.0,1.43
549,The Valley,AI,1570421243,20,70,18.22,-63.06,29.0,5.1
550,Patiya,BD,1570421243,75,74,22.3,91.98,29.0,2.46
551,Vanavara,RU,1570421244,100,94,60.35,102.28,2.07,4.04
552,Awjilah,LY,1570421244,0,85,29.14,21.3,17.58,2.9
553,Abakaliki,NG,1570421244,100,93,6.32,8.11,23.06,1.47
554,Agadir,MA,1570421033,0,72,30.42,-9.58,17.0,3.6
555,Muravlenko,RU,1570421244,91,80,63.79,74.5,0.93,5.99
556,Kavaratti,IN,1570421244,20,70,10.57,72.64,29.0,2.1
557,Kajaani,FI,1570421244,90,93,64.22,27.73,2.0,2.6
558,Iskateley,RU,1570421244,0,88,67.68,53.15,-1.02,3.33
